,0,1
arcade fire>>reflektor,15.583265,41.12024
peter bjorn and john>>young folks,32.90137,-36.833458
arctic monkeys>>whyd you only call me when youre high,29.44753,-33.76252
josé gonzález>>heartbeats,-40.95231,2.228183
earth  wind & fire>>september,40.54187,52.41272
passion pit>>sleepyhead,30.935669,36.85878
dire straits>>sultans of swing,60.133934,29.014112
the postal service>>such great heights,34.37469,22.976786
nico & vinz>>am i wrong,15.105878,-25.268967
flo rida>>good feeling,-14.114008,-3.5010548
jason derulo>>talk dirty feat. 2 chainz,12.655468,2.890217
naughty boy>>la la la,-13.563367,8.008956
fleetwood mac>>go your own way,-61.20775,-13.478489
the strokes>>reptilia,20.468891,45.18559
james blake>>retrograde,15.805958,40.868565
psy>>gangnam style 강남스타일,-13.878775,-4.4479113
ed sheeran>>i see fire,-14.750458,5.0875864
foals>>my number,-6.8609962,34.825127
the rolling stones>>gimme shelter,-61.91203,-14.572653
u2>>beautiful day,-10.48926,-62.963978
kanye west>>power,3.2881045,14.81294
lorde>>tennis court,31.165148,5.6920824
nicki minaj>>starships,13.076544,6.2251363
lana del rey>>summertime sadness [lana del rey vs. cedric gervais] - cedric gervais remix,11.880819,4.461479
david guetta>>titanium feat. sia,13.430723,-6.4806027
boston>>more than a feeling,-35.55804,57.662342
the killers>>when you were young,59.275597,-28.964178
jessie j>>bang bang,9.735241,-21.138958
house of pain>>jump around,-9.206137,3.470315
radiohead>>no surprises,-19.200747,53.827568
the goo goo dolls>>iris,-53.104057,31.418732
kanye west>>all of the lights,17.972609,-28.35816
michael jackson>>beat it - single version,-9.826367,-63.991
weezer>>island in the sun,-53.181393,31.629799
sam smith>>im not the only one,-14.72373,5.306518
lady gaga>>poker face,3.703792,12.376976
rage against the machine>>killing in the name,-54.755947,33.131092
counting crows>>mr. jones,-35.328823,58.28171
the lumineers>>stubborn love,34.113792,22.90225
alex clare>>too close,13.346186,-6.493765
lana del rey>>young and beautiful,28.403147,-32.22901
creedence clearwater revival>>fortunate son,-61.933487,-15.200374
calvin harris>>blame,9.258977,-20.634985
phoenix>>if i ever feel better,-38.596405,9.210431
haim>>the wire,35.544518,0.0035221446
lady gaga>>applause,14.314074,-25.10398
red hot chili peppers>>californication,-14.967074,-61.838005
rihanna>>s&m,11.259652,12.449022
arctic monkeys>>i bet you look good on the dancefloor,-38.288383,8.081986
queen>>dont stop me now,-52.602867,-39.246918
train>>hey  soul sister,-13.63443,-0.26181576
coldplay>>every teardrop is a waterfall,-12.871197,-11.57176
flo rida>>wild ones feat. sia,14.290256,-13.86708
jimi hendrix>>all along the watchtower,18.72389,-66.00727
foster the people>>helena beat,-39.49263,-1.8229833
death cab for cutie>>i will follow you into the dark,-41.1174,7.498891
soundgarden>>black hole sun,-11.904222,-62.25106
iggy pop>>the passenger,66.88552,7.4437976
grouplove>>tongue tied,48.163242,-4.6707983
